State_Name,Year,Month,Total_Revenue,Total_Volume_Liters
Minnesota,2023,1,7555687.17,7442351.25
Minnesota,2023,2,7613680.84,7151442.75
Minnesota,2023,3,9042170.89,8670627.0
Minnesota,2023,4,7841635.74,7805391.0
Minnesota,2023,5,11306279.719999999,11433223.5
Minnesota,2023,6,11614190.810000002,11674485.0
Minnesota,2023,7,10161470.98,10333160.25
Minnesota,2023,8,10803792.040000001,11474784.0
Minnesota,2023,9,8792742.57,8799140.25
Minnesota,2023,10,8649415.4,9473640.75
Minnesota,2023,11,9097428.040000001,9380635.5
Minnesota,2023,12,9557719.120000001,9583196.25
Minnesota,2024,1,7255812.259999999,7459606.5
Minnesota,2024,2,7674101.83,7540126.5
Minnesota,2024,3,8333075.9,8353089.0
Minnesota,2024,4,8744883.33,8750448.75
Minnesota,2024,5,11548248.91,11933866.5
Minnesota,2024,6,10991579.8,11049798.0
Minnesota,2024,7,10291886.119999997,11180023.5
Minnesota,2024,8,10096644.4,11096527.5
Minnesota,2024,9,8886885.879999999,8964085.5
Minnesota,2024,10,9147866.649999999,9954305.25
Minnesota,2024,11,8306592.45,8760432.75
Minnesota,2024,12,10037106.270000001,10047033.0
Minnesota,2025,4,8710698.68,8774256.75
Minnesota,2025,5,10773727.579999998,11419038.75
Minnesota,2025,6,11491141.96,11617674.75
Minnesota,2025,1,7202442.17,7039340.25
Minnesota,2025,2,7477392.94,7237134.75
Minnesota,2025,3,8828316.31,8662650.0
Minnesota,2025,7,10425379.6,11343784.5
Minnesota,2025,8,10353642.309999999,11242085.25
Minnesota,2025,9,9014047.27,9334132.5
