State_Name,Year,FY_Year,Month_Name,Month,Total_Revenue,Total_Volume_Liters,Total_Gallons
Wisconsin,2011.0,2012.0,July,7.0,4986237.54,61346063.248408705,16205923.07
Wisconsin,2011.0,2012.0,August,8.0,4383182.75,58927136.101726204,15566909.82
Wisconsin,2011.0,2012.0,September,9.0,4738239.15,55680023.7063087,14709113.07
Wisconsin,2011.0,2012.0,October,10.0,5093910.65,52778172.46248109,13942524.709999997
Wisconsin,2011.0,2012.0,November,11.0,4880342.359999999,55424878.97153131,14641710.930000002
Wisconsin,2011.0,2012.0,December,12.0,5098413.69,51024979.1265721,13479379.81
Wisconsin,2012.0,2012.0,January,1.0,4660358.680000001,47767565.229942895,12618861.689999998
Wisconsin,2012.0,2012.0,February,2.0,3548461.6799999997,44575503.143657,11775607.7
Wisconsin,2012.0,2012.0,March,3.0,3797028.03,43581632.391927,11513054.7
Wisconsin,2012.0,2012.0,April,4.0,4248264.960000001,52364755.1931117,13833311.37
Wisconsin,2012.0,2012.0,May,5.0,3993718.42,55135690.41689762,14565315.360000003
Wisconsin,2012.0,2012.0,June,6.0,5218553.6899999995,66261653.54805661,17504485.26
Wisconsin,2012.0,2013.0,July,7.0,6617632.69,64550484.20624129,17052441.929999996
Wisconsin,2012.0,2013.0,August,8.0,5165730.59,61920962.9664878,16357795.58
Wisconsin,2012.0,2013.0,September,9.0,5111298.96,57982922.471938506,15317474.850000001
Wisconsin,2012.0,2013.0,October,10.0,4269662.83,48523583.5297329,12818580.69
Wisconsin,2012.0,2013.0,November,11.0,5067605.050000001,52237155.8736038,13799603.18
Wisconsin,2012.0,2013.0,December,12.0,5812285.84,49918561.47322051,13187095.050000003
Wisconsin,2013.0,2013.0,January,1.0,4256702.99,42142061.10730821,11132760.020000001
Wisconsin,2013.0,2013.0,February,2.0,3252234.35,47751292.4715808,12614562.88
Wisconsin,2013.0,2013.0,March,3.0,4257789.15,47557851.3961133,12563461.129999999
Wisconsin,2013.0,2013.0,April,4.0,4970925.24,52031227.79046111,13745202.71
Wisconsin,2013.0,2013.0,May,5.0,4338751.69,52791061.36713602,13945929.600000003
Wisconsin,2013.0,2013.0,June,6.0,5355342.720000001,65605921.96398021,17331259.220000003
Wisconsin,2013.0,2014.0,July,7.0,5430680.27,59098556.53872531,15612194.330000002
Wisconsin,2013.0,2014.0,August,8.0,4771544.58,59659697.12424459,15760432.059999997
Wisconsin,2013.0,2014.0,September,9.0,4744519.42,55577460.7478539,14682018.79
Wisconsin,2013.0,2014.0,October,10.0,4486835.65,52377377.0749452,13836645.719999999
Wisconsin,2013.0,2014.0,November,11.0,6030720.26,57678091.95966509,15236947.109999998
Wisconsin,2013.0,2014.0,December,12.0,4725364.77,51654410.59046691,13645658.090000002
